,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rank,home_rank_pts,away_rank,away_rank_pts,rank_diff,rank_pts_diff,outcome,outcome_num,home_game,away_game,home_OVR,home_ATT,home_MID,home_DEF,home_team_id,home_team_uid,home_team_international_prestige,away_OVR,away_ATT,away_MID,away_DEF,away_team_id,away_team_uid,away_team_international_prestige,ATT_diff,DEF_diff,MID_diff,Friendly,team_uid_x,home_ATT_age,home_DEF_age,home_MID_age,home_ATT_ht,home_DEF_ht,home_MID_ht,home_ATT_wt,home_DEF_wt,home_MID_wt,team_uid_y,away_ATT_age,away_DEF_age,away_MID_age,away_ATT_ht,away_DEF_ht,away_MID_ht,away_ATT_wt,away_DEF_wt,away_MID_wt,ATT_age_diff,DEF_age_diff,MID_age_diff,ATT_ht_diff,DEF_ht_diff,MID_ht_diff,ATT_wt_diff,DEF_wt_diff,MID_wt_diff,home_hrva_rwma,home_hrvap_rwma,home_hrva_rmean,home_hrvap_rmean,away_hrva_rwma,away_hrvap_rwma,away_hrva_rmean,away_hrvap_rmean,diff_hrva_rwma,diff_hrvap_rwma,diff_hrva_rmean,diff_hrvap_rmean,hrvo_rwma,hrvop_rwma
0,2010-05-26,France,Costa Rica,2,1,Friendly,Lens,France,0,9,1044,40,710,-31,334,W,0,1,0,82,80,82,81,1335,1335-11-156279,19,73,69,73,73,1383,1383-08-155359,3,7,12,9,1,1335-11-156279,22.0,25.2,26.0,182.0,183.2,182.0,74.0,78.8,75.4,1383-08-155359,28.0,29.83333333333333,26.75,179.0,180.0,182.0,70.0,76.33333333333333,77.75,-7.833333333333332,-2.8000000000000007,-0.75,2.0,4.199999999999989,0.0,-2.3333333333333286,8.799999999999997,-2.3499999999999943,0.3340379573461363,0.2640889419262693,0.46715328467153283,0.41788321167883213,0.08892728490961554,0.1183732501180387,0.10909090909090909,0.12878787878787878,0.24511067243652074,0.1457156918082306,0.35806237558062376,0.28909533289095335,1.0,1.0
1,2010-05-26,Netherlands,Mexico,2,1,Friendly,Freiburg,Germany,1,4,1231,17,895,-13,336,W,0,0,0,81,80,81,76,105035,105035-11-156279,17,77,74,75,73,1386,1386-11-156279,15,7,2,6,1,105035-11-156279,27.5,25.2,27.5,185.0,180.6,177.75,75.0,74.2,74.5,1386-11-156279,21.75,26.0,28.0,173.25,183.0,178.0,63.5,78.5,72.0,1.5,3.4499999999999997,-0.5,2.0,7.349999999999994,-0.25,-3.5,10.700000000000003,2.5,0.5294207743242221,0.5032588596737124,0.5,0.4672131147540984,0.3714538536727325,0.3659832615995335,0.2631578947368421,0.25,0.1579669206514896,0.13727559807417894,0.2368421052631579,0.21721311475409838,0.07918439339871464,0.01735042176692982
2,2010-05-26,Northern Ireland,Turkey,0,2,Friendly,New Britain,USA,1,56,566,29,830,27,-264,L,2,0,0,71,65,67,69,110081,110081-11-156279,5,78,77,75,74,1365,1365-11-156279,14,-9,-8,-8,1,110081-11-156279,25.66666666666667,29.4,27.0,184.66666666666663,185.2,177.0,70.0,77.8,71.66666666666667,1365-11-156279,25.33333333333333,27.4,26.66666666666667,177.33333333333337,186.6,180.0,76.0,82.0,79.66666666666667,-1.7333333333333307,4.066666666666666,0.3333333333333321,-1.933333333333337,7.866666666666646,-3.0,-12.0,1.7999999999999972,-8.0,-0.15399992262066595,-0.16832721701109304,-0.21686746987951808,-0.23493975903614459,0.2579836456512263,0.27496705693919615,0.21705426356589147,0.25193798449612403,-0.4119835682718922,-0.4432942739502892,-0.4339217334454095,-0.48687774353226865,0.07893378023829428,0.07898665893361506
3,2010-05-27,Denmark,Senegal,2,0,Friendly,Aalborg,Denmark,0,36,767,75,422,-39,345,W,0,1,0,75,73,72,72,1331,1331-11-156279,12,76,77,77,76,1667,1667-18-158904,7,-3,-5,-5,1,1331-11-156279,26.5,27.0,25.25,185.5,188.2,180.5,76.0,80.8,72.75,1667-18-158904,22.0,27.0,27.0,180.0,185.6,181.5,74.25,78.6,74.5,-0.5,5.0,-1.75,-0.09999999999999433,8.199999999999989,-1.0,-2.5999999999999943,6.549999999999998,-1.75,0.18786472501882642,0.16903315156107473,0.26605504587155965,0.26376146788990823,0.1348409792943105,0.17983083032943745,0.23008849557522124,0.24778761061946902,0.05302374572451593,-0.010797678768362712,0.03596655029633841,0.015973857270439207,0.48000000000000004,0.6000000000000001
4,2010-05-27,South Africa,Colombia,2,1,Friendly,Johannesburg,South Africa,0,83,392,35,776,48,-384,W,0,1,0,72,69,72,66,111099,111099-11-156279,8,76,76,72,74,111109,111109-12-156644,6,-5,-10,0,1,111099-11-156279,25.0,24.25,27.2,175.0,179.25,177.6,67.5,70.75,74.4,111109-12-156644,25.0,29.75,25.25,179.66666666666663,181.5,180.75,73.66666666666667,78.5,81.0,-4.75,-0.75,1.9499999999999995,-6.5,-0.4166666666666572,-3.1500000000000057,-11.0,-2.9166666666666714,-6.599999999999994,0.016803538357373145,-0.07449624140820008,0.08552631578947369,0.05592105263157895,0.10065593186468735,0.0955297393947551,0.1386861313868613,0.14963503649635038,-0.08385239350731422,-0.17002598080295517,-0.053159815597387625,-0.09371398386477142,-0.0,-0.0
5,2010-05-29,Hungary,Germany,0,3,Friendly,Budapest,Hungary,0,57,565,6,1082,51,-517,L,2,1,0,72,72,71,68,1886,1886-11-156279,7,82,81,80,79,1337,1337-11-156279,19,-7,-13,-9,1,1886-11-156279,25.5,28.4,27.75,182.5,186.6,180.5,78.5,81.6,76.75,1337-11-156279,25.66666666666667,25.4,23.0,184.0,187.4,184.66666666666663,77.0,83.2,77.33333333333333,0.10000000000000142,2.7333333333333307,4.75,-4.900000000000006,2.5999999999999943,-4.166666666666656,-4.700000000000003,4.599999999999994,-0.5833333333333286,-0.08732455595583559,-0.09496042804183481,-0.05660377358490566,-0.0660377358490566,0.4600654198704253,0.399577688296981,0.39568345323741005,0.35251798561151076,-0.5473899758262609,-0.4945381163388158,-0.4522872268223157,-0.41855572146056735,-0.07421024824385151,-0.08689227730007629
6,2010-05-29,New Zealand,Serbia,1,0,Friendly,Klagenfurt,Austria,1,78,410,15,947,63,-537,W,0,0,0,64,62,57,60,111473,111473-11-156279,6,78,75,79,76,110082,110082-13-157186,6,-14,-15,-22,1,111473-11-156279,28.0,26.8,31.0,185.33333333333331,187.2,181.66666666666663,74.66666666666667,83.8,80.0,110082-13-157186,23.0,25.8,21.6,187.0,187.6,185.6,82.0,83.2,76.0,2.1999999999999997,3.8000000000000007,9.4,-2.2666666666666515,0.19999999999998866,-3.9333333333333367,-8.533333333333331,1.7999999999999972,4.0,-0.14810528704214793,-0.06062398994669298,-0.016129032258064516,0.04435483870967742,0.3208078650753769,0.38428239487494653,0.13043478260869565,0.21304347826086956,-0.4689131521175248,-0.4449063848216395,-0.14656381486676018,-0.16868863955119212,0.0,0.0
7,2010-05-29,Poland,Finland,0,0,Friendly,Kielce,Poland,0,58,561,52,584,6,-23,D,1,1,0,74,71,69,69,1353,1353-11-156279,11,71,66,70,70,1334,1334-11-156279,6,1,3,-1,1,1353-11-156279,25.0,27.0,25.0,183.5,187.4,176.25,75.0,80.6,70.25,1334-11-156279,31.5,29.6,30.0,184.5,189.4,182.25,84.0,83.4,77.75,-4.600000000000001,-4.5,-5.0,-5.900000000000006,2.9000000000000057,-6.0,-8.400000000000006,-3.4000000000000057,-7.5,0.16025119208522978,0.14501722052152852,0.23703703703703705,0.22037037037037038,-0.08094396991588487,-0.025518046464600826,0.017391304347826087,0.07173913043478261,0.24119516200111465,0.17053526698612934,0.21964573268921095,0.14863123993558777,0.3762725735857493,0.3363496685939332
8,2010-05-29,Spain,Saudi Arabia,3,2,Friendly,Innsbruck,Austria,1,2,1565,66,498,-64,1067,W,0,0,0,85,82,83,83,1362,1362-11-156279,19,73,73,73,73,111114,111114-18-158904,4,9,10,10,1,1362-11-156279,27.0,28.0,26.25,180.0,183.6,177.75,73.5,81.0,71.0,111114-18-158904,30.0,29.2,28.4,180.0,179.4,170.0,72.0,72.0,65.2,-2.1999999999999997,-2.0,-2.1499999999999986,0.5999999999999943,3.5999999999999943,7.75,1.5,9.0,5.799999999999998,0.8153988263648616,0.8323707169461032,0.6124031007751938,0.5930232558139535,0.34533470615936335,0.32351982632973375,0.33695652173913043,0.26902173913043476,0.47006412020549826,0.5088508906163695,0.27544657903606334,0.3240015166835188,1.0,1.0
9,2010-05-29,USA,Turkey,2,1,Friendly,Philadelphia,USA,0,14,957,29,830,-15,127,W,0,1,0,75,72,73,72,1387,1387-11-156279,12,78,77,75,74,1365,1365-11-156279,14,-2,-5,-2,1,1387-11-156279,22.0,30.2,25.25,180.5,184.2,181.75,74.5,81.6,79.0,1365-11-156279,25.33333333333333,27.4,26.66666666666667,177.33333333333337,186.6,180.0,76.0,82.0,79.66666666666667,-5.399999999999999,4.866666666666667,-1.416666666666668,-6.099999999999994,6.866666666666646,1.75,-7.5,5.599999999999994,-0.6666666666666714,0.12474992324521725,0.06991468611773392,0.30120481927710846,0.21536144578313254,0.2870823265102625,0.30339972166250967,0.2230769230769231,0.25769230769230766,-0.16233240326504525,-0.23348503554477573,0.07812789620018537,-0.04233086190917512,-0.52,-0.39999999999999997
