,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rank,home_rank_pts,away_rank,away_rank_pts,rank_diff,rank_pts_diff,outcome,outcome_num,home_game,away_game,home_OVR,home_ATT,home_MID,home_DEF,home_team_id,home_team_url,away_OVR,away_ATT,away_MID,away_DEF,away_team_id,away_team_url
60,2012-06-16 00:00:00.000000,Norway,Sweden,1,2,Friendly,Kristiania,Norway,0,26,787,17,910,9,-123,L,2,1,0,74,74,73,75,1352,/team/1352/norway/fifa13_11/,76,84,75,73,1363,/team/1363/sweden/fifa13_11/
61,2012-06-20 00:00:00.000000,Sweden,Hungary,2,2,Friendly,Gothenburg,Sweden,0,17,910,31,735,-14,175,D,1,1,0,76,84,75,73,1363,/team/1363/sweden/fifa13_11/,71,71,70,69,1886,/team/1886/hungary/fifa13_11/
62,2012-06-23 00:00:00.000000,Norway,Hungary,0,6,Friendly,Kristiania,Norway,0,26,787,31,735,-5,52,L,2,1,0,74,74,73,75,1352,/team/1352/norway/fifa13_11/,71,71,70,69,1886,/team/1886/hungary/fifa13_11/
63,2012-06-27 00:00:00.000000,Sweden,Finland,7,1,Friendly,Solna,Sweden,0,17,910,75,464,-58,446,W,0,1,0,76,84,75,73,1363,/team/1363/sweden/fifa13_11/,70,68,70,69,1334,/team/1334/finland/fifa13_11/
64,2012-07-12 00:00:00.000000,Russia,Hungary,0,9,Friendly,Moscow,Russia,0,13,981,31,716,-18,265,L,2,1,0,79,81,78,76,1357,/team/1357/russia/fifa13_11/,71,71,70,69,1886,/team/1886/hungary/fifa13_11/
65,2012-07-14 00:00:00.000000,Russia,Hungary,0,12,Friendly,Moscow,Russia,0,13,981,31,716,-18,265,L,2,1,0,79,81,78,76,1357,/team/1357/russia/fifa13_11/,71,71,70,69,1886,/team/1886/hungary/fifa13_11/
66,2012-08-15 00:00:00.000000,Uruguay,Argentina,2,0,Copa Lipton,Montevideo,Uruguay,0,4,1236,7,1098,-3,138,W,0,1,0,79,81,75,78,1377,/team/1377/uruguay/fifa13_11/,82,87,79,78,1369,/team/1369/argentina/fifa13_11/
67,2012-08-25 00:00:00.000000,Uruguay,Argentina,3,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,0,4,1236,7,1098,-3,138,W,0,1,0,79,81,75,78,1377,/team/1377/uruguay/fifa13_11/,82,87,79,78,1369,/team/1369/argentina/fifa13_11/
68,2012-09-22 00:00:00.000000,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,0,7,1121,5,1217,2,-96,L,2,1,0,82,85,81,78,1369,/team/1369/argentina/fifa14_12/,79,84,76,78,1377,/team/1377/uruguay/fifa14_12/
69,2012-10-06 00:00:00.000000,Argentina,Uruguay,3,3,Copa Newton,Avellaneda,Argentina,0,4,1208,7,1140,-3,68,D,1,1,0,82,85,81,78,1369,/team/1369/argentina/fifa14_12/,79,84,76,78,1377,/team/1377/uruguay/fifa14_12/
70,2012-10-06 00:00:00.000000,Denmark,Germany,3,1,Friendly,Copenhagen,Denmark,0,18,944,2,1459,16,-515,W,0,1,0,74,71,73,74,1331,/team/1331/denmark/fifa14_12/,84,84,84,82,1337,/team/1337/germany/fifa14_12/
71,2012-11-03 00:00:00.000000,Hungary,Austria,4,0,Friendly,Budapest,Hungary,0,49,593,59,528,-10,65,W,0,1,0,70,73,71,67,1886,/team/1886/hungary/fifa14_12/,74,74,75,74,1322,/team/1322/austria/fifa14_12/
72,2012-11-03 00:00:00.000000,Sweden,Norway,4,2,Friendly,Gothenburg,Sweden,0,21,859,26,764,-5,95,W,0,1,0,75,82,75,73,1363,/team/1363/sweden/fifa14_12/,73,75,72,74,1352,/team/1352/norway/fifa14_12/
73,2012-11-17 00:00:00.000000,Germany,Netherlands,2,3,Friendly,Leipzig,Germany,0,2,1421,7,1128,-5,293,L,2,1,0,84,84,84,82,1337,/team/1337/germany/fifa14_12/,80,85,78,74,105035,/team/105035/netherlands/fifa14_12/
74,2012-12-01 00:00:00.000000,Uruguay,Argentina,1,3,Friendly,Montevideo,Uruguay,0,11,1047,3,1349,8,-302,L,2,1,0,79,84,76,78,1377,/team/1377/uruguay/fifa14_12/,82,85,81,78,1369,/team/1369/argentina/fifa14_12/
75,2012-12-22 00:00:00.000000,Italy,Austria,1,3,Friendly,Genoa,Italy,0,4,1165,70,492,-66,673,L,2,1,0,83,80,83,81,1343,/team/1343/italy/fifa14_12/,74,74,75,74,1322,/team/1322/austria/fifa14_12/
76,2013-01-12 00:00:00.000000,France,Italy,1,0,Friendly,Saint-Ouen,France,0,17,949,4,1165,13,-216,W,0,1,0,82,85,81,80,1335,/team/1335/france/fifa14_12/,83,80,83,81,1343,/team/1343/italy/fifa14_12/
77,2013-01-18 00:00:00.000000,Northern Ireland,Wales,0,1,British Championship,Belfast,Ireland,0,98,367,81,435,17,-68,L,2,0,0,71,71,69,70,110081,/team/110081/northern-ireland/fifa14_12/,73,75,75,72,1367,/team/1367/wales/fifa14_12/
78,2013-02-15 00:00:00.000000,Northern Ireland,England,2,1,British Championship,Belfast,Ireland,0,102,354,4,1160,98,-806,W,0,0,0,71,71,69,70,110081,/team/110081/northern-ireland/fifa14_12/,81,84,80,81,1318,/team/1318/england/fifa14_12/
79,2013-02-16 00:00:00.000000,Belgium,France,3,0,Friendly,Brussels,Belgium,0,20,864,17,929,3,-65,W,0,1,0,80,80,79,79,1325,/team/1325/belgium/fifa14_12/,82,85,81,80,1335,/team/1335/france/fifa14_12/
80,2013-03-03 00:00:00.000000,Wales,Scotland,0,0,British Championship,Wrexham,Wales,0,68,493,64,511,4,-18,D,1,1,0,73,75,75,72,1367,/team/1367/wales/fifa14_12/,73,74,72,70,1359,/team/1359/scotland/fifa14_12/
81,2013-03-09 00:00:00.000000,Belgium,Netherlands,3,3,Friendly,Antwerp,Belgium,0,20,864,8,1108,12,-244,D,1,1,0,80,80,79,79,1325,/team/1325/belgium/fifa14_12/,80,85,78,74,105035,/team/105035/netherlands/fifa14_12/
82,2013-03-09 00:00:00.000000,Switzerland,France,1,4,Friendly,Geneva,Switzerland,0,14,993,17,929,-3,64,L,2,1,0,76,70,77,75,1364,/team/1364/switzerland/fifa14_12/,82,85,81,80,1335,/team/1335/france/fifa14_12/
83,2013-03-15 00:00:00.000000,Northern Ireland,Scotland,1,2,British Championship,Dublin,Ireland,0,97,367,66,501,31,-134,L,2,0,0,71,71,69,70,110081,/team/110081/northern-ireland/fifa14_12/,73,74,72,70,1359,/team/1359/scotland/fifa14_12/
84,2013-03-17 00:00:00.000000,England,Wales,4,3,British Championship,Bristol,England,0,4,1174,71,491,-67,683,W,0,1,0,81,84,80,81,1318,/team/1318/england/fifa14_12/,73,75,75,72,1367,/team/1367/wales/fifa14_12/
85,2013-04-05 00:00:00.000000,England,Scotland,1,0,British Championship,London,England,0,4,1174,66,501,-62,673,W,0,1,0,81,84,80,81,1318,/team/1318/england/fifa14_12/,73,74,72,70,1359,/team/1359/scotland/fifa14_12/
86,2013-04-20 00:00:00.000000,Netherlands,Belgium,2,4,Friendly,Zwolle,Netherlands,0,9,1093,16,953,-7,140,L,2,1,0,80,85,78,74,105035,/team/105035/netherlands/fifa14_12/,80,80,79,79,1325,/team/1325/belgium/fifa14_12/
87,2013-04-27 00:00:00.000000,Austria,Hungary,1,4,Friendly,Vienna,Austria,0,71,472,33,749,38,-277,L,2,1,0,74,74,75,74,1322,/team/1322/austria/fifa14_12/,70,73,71,67,1886,/team/1886/hungary/fifa14_12/
88,2013-05-01 00:00:00.000000,Italy,Belgium,1,0,Friendly,Turin,Italy,0,8,1117,16,953,-8,164,W,0,1,0,83,80,83,81,1343,/team/1343/italy/fifa14_12/,80,80,79,79,1325,/team/1325/belgium/fifa14_12/
89,2013-05-04 00:00:00.000000,Russia,Sweden,1,4,Friendly,Moscow,Russia,0,11,1052,24,838,-13,214,L,2,1,0,77,76,77,76,1357,/team/1357/russia/fifa14_12/,75,82,75,73,1363,/team/1363/sweden/fifa14_12/
90,2013-05-04 00:00:00.000000,Switzerland,Belgium,1,2,Friendly,Basel,Switzerland,0,15,967,16,953,-1,14,L,2,1,0,76,70,77,75,1364,/team/1364/switzerland/fifa14_12/,80,80,79,79,1325,/team/1325/belgium/fifa14_12/
91,2013-05-18 00:00:00.000000,Germany,Switzerland,1,2,Friendly,Freiburg,Germany,0,2,1428,14,967,-12,461,L,2,1,0,84,84,84,82,1337,/team/1337/germany/fifa14_12/,76,70,77,75,1364,/team/1364/switzerland/fifa14_12/
92,2013-05-18 00:00:00.000000,Hungary,Sweden,2,0,Friendly,Budapest,Hungary,0,33,749,24,838,9,-89,W,0,1,0,70,73,71,67,1886,/team/1886/hungary/fifa14_12/,75,82,75,73,1363,/team/1363/sweden/fifa14_12/
93,2013-05-25 00:00:00.000000,Denmark,Sweden,8,0,Friendly,Copenhagen,Denmark,0,20,900,24,838,-4,62,W,0,1,0,74,71,73,74,1331,/team/1331/denmark/fifa14_12/,75,82,75,73,1363,/team/1363/sweden/fifa14_12/
94,2013-06-08 00:00:00.000000,Sweden,Norway,9,0,Friendly,Stockholm,Sweden,0,27,830,29,794,-2,36,W,0,1,0,75,82,75,73,1363,/team/1363/sweden/fifa14_12/,73,75,72,74,1352,/team/1352/norway/fifa14_12/
95,2013-06-15 00:00:00.000000,Argentina,Uruguay,1,1,Friendly,Avellaneda,Argentina,0,3,1287,19,913,-16,374,D,1,1,0,82,85,81,78,1369,/team/1369/argentina/fifa14_12/,79,84,76,78,1377,/team/1377/uruguay/fifa14_12/
96,2013-06-15 00:00:00.000000,Austria,Italy,2,0,Friendly,Vienna,Austria,0,76,469,8,1097,68,-628,W,0,1,0,74,74,75,74,1322,/team/1322/austria/fifa14_12/,83,80,83,81,1343,/team/1343/italy/fifa14_12/
97,2013-07-09 00:00:00.000000,Argentina,Uruguay,2,1,Friendly,Avellaneda,Argentina,0,4,1204,12,1016,-8,188,W,0,1,0,82,85,81,78,1369,/team/1369/argentina/fifa14_12/,79,84,76,78,1377,/team/1377/uruguay/fifa14_12/
98,2013-08-15 00:00:00.000000,Argentina,Uruguay,4,0,Copa Lipton,Avellaneda,Argentina,0,4,1210,12,998,-8,212,W,0,1,0,82,85,81,78,1369,/team/1369/argentina/fifa14_12/,79,84,76,78,1377,/team/1377/uruguay/fifa14_12/
99,2013-08-31 00:00:00.000000,Argentina,Uruguay,2,0,Copa Premio Honor Argentino,Buenos Aires,Argentina,0,4,1210,12,998,-8,212,W,0,1,0,82,85,80,78,1369,/team/1369/argentina/fifa13_10/,79,84,77,78,1377,/team/1377/uruguay/fifa13_10/
100,2013-09-14 00:00:00.000000,Russia,Norway,1,1,Friendly,Moscow,Russia,0,15,968,40,699,-25,269,D,1,1,0,78,78,78,76,1357,/team/1357/russia/fifa13_10/,73,79,71,72,1352,/team/1352/norway/fifa13_10/
101,2013-09-21 00:00:00.000000,Chile,Argentina,0,2,Friendly,Viña del Mar,Chile,0,16,967,2,1263,14,-296,L,2,1,0,75,77,75,70,111459,/team/111459/chile/fifa15_16/,81,84,80,80,1369,/team/1369/argentina/fifa15_16/
102,2013-10-05 00:00:00.000000,Sweden,Denmark,0,10,Friendly,Stockholm,Sweden,0,22,836,23,825,-1,11,L,2,1,0,76,78,75,75,1363,/team/1363/sweden/fifa15_16/,74,71,75,75,1331,/team/1331/denmark/fifa15_16/
103,2013-10-05 00:00:00.000000,Uruguay,Argentina,1,0,Copa Premio Honor Uruguayo,Montevideo,Uruguay,0,7,1126,2,1263,5,-137,W,0,1,0,76,78,75,76,1377,/team/1377/uruguay/fifa15_16/,81,84,80,80,1369,/team/1369/argentina/fifa15_16/
104,2013-10-26 00:00:00.000000,Germany,Denmark,1,4,Friendly,Hamburg,Germany,0,2,1311,26,824,-24,487,L,2,1,0,84,84,83,82,1337,/team/1337/germany/fifa15_16/,74,71,75,75,1331,/team/1331/denmark/fifa15_16/
