date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rank,home_rank_pts,away_rank,away_rank_pts,rank_diff,rank_pts_diff,outcome,outcome_num,home_game,away_game,home_OVR,home_ATT,home_MID,home_DEF,home_team_id,home_team_uid,home_team_international_prestige,away_OVR,away_ATT,away_MID,away_DEF,away_team_id,away_team_uid,away_team_international_prestige,ATT_diff,DEF_diff,MID_diff,Friendly,team_uid_x,home_ATT_age,home_DEF_age,home_MID_age,home_ATT_ht,home_DEF_ht,home_MID_ht,home_ATT_wt,home_DEF_wt,home_MID_wt,team_uid_y,away_ATT_age,away_DEF_age,away_MID_age,away_ATT_ht,away_DEF_ht,away_MID_ht,away_ATT_wt,away_DEF_wt,away_MID_wt,ATT_age_diff,DEF_age_diff,MID_age_diff,ATT_ht_diff,DEF_ht_diff,MID_ht_diff,ATT_wt_diff,DEF_wt_diff,MID_wt_diff
2010-06-11,South Africa,Mexico,1,1,FIFA World Cup,Johannesburg,South Africa,0,83,392,17,895,66,-503,D,1,1,0,72,69,72,66,111099,111099-11-156279,8,77,74,75,73,1386,1386-11-156279,15,-4,-8,-3,0,111099-11-156279,25.0,24.25,27.2,175.0,179.25,177.6,67.5,70.75,74.4,1386-11-156279,21.75,26.0,28.0,173.25,183.0,178.0,63.5,78.5,72.0,-1.0,2.5,-0.8000000000000007,-8.0,6.0,-0.4000000000000057,-11.0,7.25,2.4000000000000057
2010-06-03,Italy,Mexico,1,2,Friendly,Brussels,Belgium,1,5,1184,17,895,-12,289,L,2,0,0,82,81,80,78,1343,1343-11-156279,19,77,74,75,73,1386,1386-11-156279,15,8,4,5,1,1343-11-156279,30.0,26.0,26.4,186.0,187.0,179.8,83.0,79.8,75.2,1386-11-156279,21.75,26.0,28.0,173.25,183.0,178.0,63.5,78.5,72.0,4.0,4.25,-1.6000000000000014,3.0,13.75,1.8000000000000114,4.5,16.299999999999997,3.200000000000003
2010-06-27,Argentina,Mexico,3,1,FIFA World Cup,Johannesburg,South Africa,1,7,1076,17,895,-10,181,W,0,0,0,83,84,80,79,1369,1369-11-156279,18,77,74,75,73,1386,1386-11-156279,15,11,5,5,0,1369-11-156279,22.333333333333332,29.0,24.0,177.0,183.8,175.33333333333334,74.33333333333333,80.2,75.0,1386-11-156279,21.75,26.0,28.0,173.25,183.0,178.0,63.5,78.5,72.0,-3.666666666666668,7.25,-4.0,-6.0,10.550000000000011,-2.666666666666657,-4.166666666666671,16.700000000000003,3.0
2010-06-05,Netherlands,Hungary,6,1,Friendly,Amsterdam,Netherlands,0,4,1231,57,565,-53,666,W,0,1,0,81,80,81,76,105035,105035-11-156279,17,72,72,71,68,1886,1886-11-156279,7,12,4,10,1,105035-11-156279,27.5,25.2,27.5,185.0,180.6,177.75,75.0,74.2,74.5,1886-11-156279,25.5,28.4,27.75,182.5,186.6,180.5,78.5,81.6,76.75,-0.8999999999999986,-0.3000000000000007,-0.25,-1.5999999999999943,-1.9000000000000057,-2.75,-6.599999999999994,-4.299999999999997,-2.25
2010-08-11,England,Hungary,2,1,Friendly,London,England,0,7,1125,62,534,-55,591,W,0,1,0,83,81,81,82,1318,1318-11-156279,17,72,72,71,68,1886,1886-11-156279,7,13,10,10,1,1318-11-156279,22.333333333333332,27.4,30.333333333333332,176.0,185.6,183.33333333333334,70.66666666666667,79.8,83.33333333333333,1886-11-156279,25.5,28.4,27.75,182.5,186.6,180.5,78.5,81.6,76.75,-6.066666666666666,1.8999999999999986,2.583333333333332,-10.599999999999994,3.0999999999999943,2.833333333333343,-10.933333333333323,1.2999999999999972,6.583333333333329
2010-06-14,Netherlands,Denmark,2,0,FIFA World Cup,Johannesburg,South Africa,1,4,1231,36,767,-32,464,W,0,0,0,81,80,81,76,105035,105035-11-156279,17,75,73,72,72,1331,1331-11-156279,12,8,3,9,0,105035-11-156279,27.5,25.2,27.5,185.0,180.6,177.75,75.0,74.2,74.5,1331-11-156279,26.5,27.0,25.25,185.5,188.2,180.5,76.0,80.8,72.75,0.5,-1.3000000000000007,2.25,-3.1999999999999886,-4.900000000000006,-2.75,-5.799999999999997,-1.7999999999999972,1.75
2010-06-05,South Africa,Denmark,1,0,Friendly,Atteridgeville,South Africa,0,83,392,36,767,47,-375,W,0,1,0,72,69,72,66,111099,111099-11-156279,8,75,73,72,72,1331,1331-11-156279,12,-3,-7,0,1,111099-11-156279,25.0,24.25,27.2,175.0,179.25,177.6,67.5,70.75,74.4,1331-11-156279,26.5,27.0,25.25,185.5,188.2,180.5,76.0,80.8,72.75,-2.0,-2.25,1.9499999999999993,-13.199999999999989,-6.25,-2.9000000000000057,-13.299999999999997,-5.25,1.6500000000000057
2010-06-01,Australia,Denmark,1,0,Friendly,Roodepoort,South Africa,1,20,886,36,767,-16,119,W,0,0,0,73,71,71,69,1415,1415-11-156279,11,75,73,72,72,1331,1331-11-156279,12,-1,-4,-1,1,1415-11-156279,29.0,31.0,28.6,187.0,187.75,177.8,79.5,79.5,73.8,1331-11-156279,26.5,27.0,25.25,185.5,188.2,180.5,76.0,80.8,72.75,2.0,4.5,3.3500000000000014,-1.1999999999999886,2.25,-2.6999999999999886,-1.2999999999999972,3.5,1.0499999999999972
2010-06-19,Cameroon,Denmark,1,2,FIFA World Cup,Pretoria,South Africa,1,19,887,36,767,-17,120,L,2,0,0,77,72,73,71,1395,1395-11-156279,13,75,73,72,72,1331,1331-11-156279,12,0,-2,1,0,1395-11-156279,28.5,23.75,26.4,180.0,182.75,176.8,76.5,76.75,74.8,1331-11-156279,26.5,27.0,25.25,185.5,188.2,180.5,76.0,80.8,72.75,1.5,-2.75,1.1499999999999986,-8.199999999999989,-2.75,-3.6999999999999886,-4.299999999999997,0.75,2.049999999999997
2010-06-19,Netherlands,Japan,1,0,FIFA World Cup,Durban,South Africa,1,4,1231,45,682,-41,549,W,0,0,0,81,80,81,76,105035,105035-11-156279,17,75,76,77,74,1411,1411-17-158729,5,6,0,4,0,105035-11-156279,27.5,25.2,27.5,185.0,180.6,177.75,75.0,74.2,74.5,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,-0.10000000000000142,-0.8000000000000007,0.3000000000000007,2.8000000000000114,-1.4000000000000057,3.1500000000000057,-0.4000000000000057,3.200000000000003,8.700000000000003
2010-06-24,Denmark,Japan,1,3,FIFA World Cup,Rustenburg,South Africa,1,36,767,45,682,-9,85,L,2,0,0,75,73,72,72,1331,1331-11-156279,12,75,76,77,74,1411,1411-17-158729,5,-1,-4,-5,0,1331-11-156279,26.5,27.0,25.25,185.5,188.2,180.5,76.0,80.8,72.75,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,-1.1000000000000014,1.0,-1.9499999999999993,3.3000000000000114,6.199999999999989,5.900000000000006,0.5999999999999943,9.799999999999997,6.950000000000003
2013-10-11,Serbia,Japan,2,0,Friendly,Novi Sad,Serbia,0,44,666,43,671,1,-5,W,0,1,0,78,75,79,76,110082,110082-13-157186,6,75,76,77,74,1411,1411-17-158729,5,1,0,2,1,110082-13-157186,23.0,25.8,21.6,187.0,187.6,185.6,82.0,83.2,76.0,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,-4.600000000000001,-0.1999999999999993,-5.599999999999998,4.800000000000011,5.599999999999994,11.0,6.599999999999994,12.200000000000003,10.200000000000003
2010-06-29,Paraguay,Japan,0,0,FIFA World Cup,Pretoria,South Africa,1,31,820,45,682,-14,138,D,1,0,0,74,79,73,70,1375,1375-13-157186,11,75,76,77,74,1411,1411-17-158729,5,5,-6,-4,0,1375-13-157186,28.0,31.8,28.0,189.0,181.8,175.8,81.0,79.2,69.6,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,0.3999999999999986,5.800000000000001,0.8000000000000007,6.800000000000011,-0.19999999999998863,1.200000000000017,5.599999999999994,8.200000000000003,3.799999999999997
