,date,url,rank_id
0,25 October 2018,/fifa-world-ranking/ranking-table/men/rank/id12350/,id12350
1,20 September 2018,/fifa-world-ranking/ranking-table/men/rank/id12315/,id12315
2,16 August 2018,/fifa-world-ranking/ranking-table/men/rank/id12280/,id12280
3,07 June 2018,/fifa-world-ranking/ranking-table/men/rank/id12210/,id12210
4,17 May 2018,/fifa-world-ranking/ranking-table/men/rank/id12189/,id12189
5,12 April 2018,/fifa-world-ranking/ranking-table/men/rank/id12154/,id12154
6,15 March 2018,/fifa-world-ranking/ranking-table/men/rank/id12126/,id12126
7,15 February 2018,/fifa-world-ranking/ranking-table/men/rank/id12098/,id12098
8,18 January 2018,/fifa-world-ranking/ranking-table/men/rank/id12070/,id12070
9,21 December 2017,/fifa-world-ranking/ranking-table/men/rank/id12042/,id12042
10,23 November 2017,/fifa-world-ranking/ranking-table/men/rank/id12014/,id12014
11,16 October 2017,/fifa-world-ranking/ranking-table/men/rank/id11976/,id11976
12,14 September 2017,/fifa-world-ranking/ranking-table/men/rank/id11944/,id11944
13,10 August 2017,/fifa-world-ranking/ranking-table/men/rank/id11909/,id11909
14,06 July 2017,/fifa-world-ranking/ranking-table/men/rank/id11874/,id11874
15,20 October 2016,/fifa-world-ranking/ranking-table/men/rank/id11615/,id11615
16,15 September 2016,/fifa-world-ranking/ranking-table/men/rank/id11580/,id11580
17,11 August 2016,/fifa-world-ranking/ranking-table/men/rank/id11545/,id11545
18,14 July 2016,/fifa-world-ranking/ranking-table/men/rank/id11517/,id11517
19,02 June 2016,/fifa-world-ranking/ranking-table/men/rank/id11475/,id11475
20,05 May 2016,/fifa-world-ranking/ranking-table/men/rank/id11447/,id11447
21,07 April 2016,/fifa-world-ranking/ranking-table/men/rank/id11419/,id11419
22,03 March 2016,/fifa-world-ranking/ranking-table/men/rank/id11384/,id11384
23,04 February 2016,/fifa-world-ranking/ranking-table/men/rank/id11356/,id11356
24,07 January 2016,/fifa-world-ranking/ranking-table/men/rank/id11328/,id11328
25,03 December 2015,/fifa-world-ranking/ranking-table/men/rank/id11293/,id11293
26,05 November 2015,/fifa-world-ranking/ranking-table/men/rank/id11265/,id11265
27,01 October 2015,/fifa-world-ranking/ranking-table/men/rank/id11230/,id11230
28,03 September 2015,/fifa-world-ranking/ranking-table/men/rank/id11202/,id11202
29,06 August 2015,/fifa-world-ranking/ranking-table/men/rank/id11174/,id11174
30,09 July 2015,/fifa-world-ranking/ranking-table/men/rank/id11146/,id11146
31,04 June 2015,/fifa-world-ranking/ranking-table/men/rank/id11111/,id11111
32,07 May 2015,/fifa-world-ranking/ranking-table/men/rank/id11083/,id11083
33,09 April 2015,/fifa-world-ranking/ranking-table/men/rank/id11055/,id11055
34,12 March 2015,/fifa-world-ranking/ranking-table/men/rank/id11027/,id11027
35,12 February 2015,/fifa-world-ranking/ranking-table/men/rank/id10999/,id10999
36,08 January 2015,/fifa-world-ranking/ranking-table/men/rank/id10964/,id10964
37,18 December 2014,/fifa-world-ranking/ranking-table/men/rank/id10943/,id10943
38,27 November 2014,/fifa-world-ranking/ranking-table/men/rank/id10922/,id10922
39,23 October 2014,/fifa-world-ranking/ranking-table/men/rank/id10887/,id10887
40,18 September 2014,/fifa-world-ranking/ranking-table/men/rank/id10852/,id10852
41,14 August 2014,/fifa-world-ranking/ranking-table/men/rank/id10817/,id10817
42,17 July 2014,/fifa-world-ranking/ranking-table/men/rank/id10789/,id10789
43,05 June 2014,/fifa-world-ranking/ranking-table/men/rank/id10747/,id10747
44,08 May 2014,/fifa-world-ranking/ranking-table/men/rank/id10719/,id10719
45,10 April 2014,/fifa-world-ranking/ranking-table/men/rank/id10691/,id10691
46,13 March 2014,/fifa-world-ranking/ranking-table/men/rank/id10663/,id10663
47,13 February 2014,/fifa-world-ranking/ranking-table/men/rank/id10635/,id10635
48,16 January 2014,/fifa-world-ranking/ranking-table/men/rank/id10607/,id10607
49,19 December 2013,/fifa-world-ranking/ranking-table/men/rank/id10579/,id10579
50,28 November 2013,/fifa-world-ranking/ranking-table/men/rank/id10558/,id10558
51,17 October 2013,/fifa-world-ranking/ranking-table/men/rank/id10516/,id10516
52,12 September 2013,/fifa-world-ranking/ranking-table/men/rank/id10481/,id10481
53,08 August 2013,/fifa-world-ranking/ranking-table/men/rank/id10446/,id10446
54,04 July 2013,/fifa-world-ranking/ranking-table/men/rank/id10411/,id10411
55,06 June 2013,/fifa-world-ranking/ranking-table/men/rank/id10383/,id10383
