date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
1872-11-30 00:00:00,Scotland,England,0,0,Friendly,Glasgow,Scotland,False
1873-03-08 00:00:00,England,Scotland,4,2,Friendly,London,England,False
1874-03-07 00:00:00,Scotland,England,2,1,Friendly,Glasgow,Scotland,False
1875-03-06 00:00:00,England,Scotland,2,2,Friendly,London,England,False
1876-03-04 00:00:00,Scotland,England,3,0,Friendly,Glasgow,Scotland,False
1876-03-25 00:00:00,Scotland,Wales,4,0,Friendly,Glasgow,Scotland,False
1877-03-03 00:00:00,England,Scotland,1,3,Friendly,London,England,False
1877-03-05 00:00:00,Wales,Scotland,0,2,Friendly,Wrexham,Wales,False
1878-03-02 00:00:00,Scotland,England,7,2,Friendly,Glasgow,Scotland,False
1878-03-23 00:00:00,Scotland,Wales,9,0,Friendly,Glasgow,Scotland,False
1879-01-18 00:00:00,England,Wales,2,1,Friendly,London,England,False
1879-04-05 00:00:00,England,Scotland,5,4,Friendly,London,England,False
1879-04-07 00:00:00,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False
1880-03-13 00:00:00,Scotland,England,5,4,Friendly,Glasgow,Scotland,False
1880-03-15 00:00:00,Wales,England,2,3,Friendly,Wrexham,Wales,False
1880-03-27 00:00:00,Scotland,Wales,5,1,Friendly,Glasgow,Scotland,False
1881-02-26 00:00:00,England,Wales,0,1,Friendly,Blackburn,England,False
1881-03-12 00:00:00,England,Scotland,1,6,Friendly,London,England,False
1881-03-14 00:00:00,Wales,Scotland,1,5,Friendly,Wrexham,Wales,False
1882-02-18 00:00:00,Northern Ireland,England,0,13,Friendly,Belfast,Ireland,False
1882-02-25 00:00:00,Wales,Northern Ireland,7,1,Friendly,Wrexham,Wales,False
1882-03-11 00:00:00,Scotland,England,5,1,Friendly,Glasgow,Scotland,False
1882-03-13 00:00:00,Wales,England,5,3,Friendly,Wrexham,Wales,False
1882-03-25 00:00:00,Scotland,Wales,5,0,Friendly,Glasgow,Scotland,False
1883-02-03 00:00:00,England,Wales,5,0,Friendly,London,England,False
1883-02-24 00:00:00,England,Northern Ireland,7,0,Friendly,Liverpool,England,False
1883-03-10 00:00:00,England,Scotland,2,3,Friendly,Sheffield,England,False
1883-03-12 00:00:00,Wales,Scotland,0,3,Friendly,Wrexham,Wales,False
1883-03-17 00:00:00,Northern Ireland,Wales,1,1,Friendly,Belfast,Ireland,False
1884-01-26 00:00:00,Northern Ireland,Scotland,0,5,British Championship,Belfast,Ireland,False
1884-02-09 00:00:00,Wales,Northern Ireland,6,0,British Championship,Wrexham,Wales,False
1884-02-23 00:00:00,Northern Ireland,England,1,8,British Championship,Belfast,Ireland,False
1884-03-15 00:00:00,Scotland,England,1,0,British Championship,Glasgow,Scotland,False
1884-03-17 00:00:00,Wales,England,0,4,British Championship,Wrexham,Wales,False
1884-03-29 00:00:00,Scotland,Wales,4,1,British Championship,Glasgow,Scotland,False
1885-02-28 00:00:00,England,Northern Ireland,4,0,British Championship,Manchester,England,False
1885-03-14 00:00:00,England,Wales,1,1,British Championship,Blackburn,England,False
1885-03-14 00:00:00,Scotland,Northern Ireland,8,2,British Championship,Glasgow,Scotland,False
1885-03-21 00:00:00,England,Scotland,1,1,British Championship,London,England,False
1885-03-23 00:00:00,Wales,Scotland,1,8,British Championship,Wrexham,Wales,False
1885-04-11 00:00:00,Northern Ireland,Wales,2,8,British Championship,Belfast,Ireland,False
1885-11-28 00:00:00,USA,Canada,0,1,Friendly,Newark,USA,False
1886-02-27 00:00:00,Wales,Northern Ireland,5,0,British Championship,Wrexham,Wales,False
1886-03-13 00:00:00,Northern Ireland,England,1,6,British Championship,Belfast,Ireland,False
1886-03-20 00:00:00,Northern Ireland,Scotland,2,7,British Championship,Belfast,Ireland,False
1886-03-27 00:00:00,Scotland,England,1,1,British Championship,Glasgow,Scotland,False
1886-03-29 00:00:00,Wales,England,1,3,British Championship,Wrexham,Wales,False
1886-04-10 00:00:00,Scotland,Wales,4,1,British Championship,Glasgow,Scotland,False
1886-11-25 00:00:00,USA,Canada,3,2,Friendly,Newark,USA,False
1887-02-05 00:00:00,England,Northern Ireland,7,0,British Championship,Sheffield,England,False
1887-02-19 00:00:00,Scotland,Northern Ireland,4,1,British Championship,Glasgow,Scotland,False
1887-02-26 00:00:00,England,Wales,4,0,British Championship,London,England,False
1887-03-12 00:00:00,Northern Ireland,Wales,4,1,British Championship,Belfast,Ireland,False
1887-03-19 00:00:00,England,Scotland,2,3,British Championship,Blackburn,England,False
1887-03-21 00:00:00,Wales,Scotland,0,2,British Championship,Wrexham,Wales,False
1888-02-04 00:00:00,England,Wales,5,1,British Championship,Crewe,England,False
1888-03-03 00:00:00,Wales,Northern Ireland,11,0,British Championship,Wrexham,Wales,False
1888-03-10 00:00:00,Scotland,Wales,5,1,British Championship,Edinburgh,Scotland,False
1888-03-17 00:00:00,Scotland,England,0,5,British Championship,Glasgow,Scotland,False
1888-03-24 00:00:00,Northern Ireland,Scotland,2,10,British Championship,Belfast,Ireland,False
1888-04-07 00:00:00,Northern Ireland,England,1,5,British Championship,Belfast,Ireland,False
1888-09-19 00:00:00,Scotland,Canada,4,0,Friendly,Glasgow,Scotland,False
1889-02-23 00:00:00,England,Wales,4,1,British Championship,Stoke-on-Trent,England,False
1889-03-02 00:00:00,England,Northern Ireland,6,1,British Championship,Liverpool,England,False
1889-03-09 00:00:00,Scotland,Northern Ireland,7,0,British Championship,Glasgow,Scotland,False
1889-04-13 00:00:00,England,Scotland,2,3,British Championship,London,England,False
1889-04-15 00:00:00,Wales,Scotland,0,0,British Championship,Wrexham,Wales,False
1889-04-27 00:00:00,Northern Ireland,Wales,1,3,British Championship,Belfast,Ireland,False
1890-02-08 00:00:00,Wales,Northern Ireland,5,2,British Championship,Shrewsbury,England,True
1890-03-15 00:00:00,Northern Ireland,England,1,9,British Championship,Belfast,Ireland,False
1890-03-15 00:00:00,Wales,England,1,3,British Championship,Wrexham,Wales,False
